order_id,customer_id,order_date,ship_date,ship_mode,city,region,state_name,product_key,sales,units,gross_profit,cost
US-2021-128055-CHO-TRI-54000,128055,2021-03-31,2026-09-26,Standard Class,San Francisco,Pacific,California,5,7.50,2,4.90,2.60
US-2021-128055-CHO-SCR-58000,128055,2021-03-31,2026-09-26,Standard Class,San Francisco,Pacific,California,4,7.20,2,5.00,2.20
US-2021-138100-CHO-FUD-51000,138100,2021-09-15,2027-03-13,Standard Class,New York City,Atlantic,New York,1,7.20,2,4.80,2.40
US-2021-138100-CHO-MIL-31000,138100,2021-09-15,2027-03-13,Standard Class,New York City,Atlantic,New York,2,9.75,3,6.33,3.42
US-2022-121391-CHO-MIL-31000,121391,2022-10-04,2028-03-29,First Class,San Francisco,Pacific,California,2,6.50,2,4.22,2.28
US-2023-103982-CHO-SCR-58000,103982,2023-03-03,2028-08-28,Standard Class,Round Rock,Interior,Texas,4,3.60,1,2.50,1.10
US-2023-103982-CHO-NUT-13000,103982,2023-03-03,2028-08-28,Standard Class,Round Rock,Interior,Texas,3,10.47,3,7.47,3.00
US-2023-103982-CHO-FUD-51000,103982,2023-03-03,2028-08-28,Standard Class,Round Rock,Interior,Texas,1,25.20,7,16.80,8.40
US-2023-103982-CHO-MIL-31000,103982,2023-03-03,2028-08-28,Standard Class,Round Rock,Interior,Texas,2,9.75,3,6.33,3.42
US-2024-147039-CHO-NUT-13000,147039,2024-06-29,2029-12-25,Standard Class,Minneapolis,Interior,Minnesota,3,10.47,3,7.47,3.00
US-2024-147039-CHO-NUT-13000,147039,2024-06-29,2029-12-25,Standard Class,Minneapolis,Interior,Minnesota,3,6.98,2,4.98,2.00
US-2021-158064-CHO-MIL-31000,158064,2021-04-21,2026-10-16,Standard Class,Los Angeles,Pacific,California,2,16.25,5,10.55,5.70
US-2021-130729-CHO-MIL-31000,130729,2021-10-24,2027-04-21,Standard Class,Rancho Cucamonga,Pacific,California,2,9.75,3,6.33,3.42
US-2022-140921-CHO-TRI-54000,140921,2022-02-03,2027-07-29,First Class,Omaha,Interior,Nebraska,5,7.50,2,4.90,2.60
US-2022-140921-CHO-NUT-13000,140921,2022-02-03,2027-07-29,First Class,Omaha,Interior,Nebraska,3,10.47,3,7.47,3.00
US-2022-109939-CHO-SCR-58000,109939,2022-05-08,2027-11-02,Standard Class,Salem,Pacific,Oregon,4,7.20,2,5.00,2.20
US-2022-114503-CHO-NUT-13000,114503,2022-11-13,2028-05-09,Standard Class,Lebanon,Gulf,Tennessee,3,20.94,6,14.94,6.00
US-2023-126613-CHO-TRI-54000,126613,2023-07-10,2029-01-05,Standard Class,Mesa,Pacific,Arizona,5,7.50,2,4.90,2.60
US-2023-131065-CHO-NUT-13000,131065,2023-11-14,2029-05-08,Second Class,Atlanta,Gulf,Georgia,3,6.98,2,4.98,2.00
US-2023-131065-CHO-SCR-58000,131065,2023-11-14,2029-05-08,Second Class,Atlanta,Gulf,Georgia,4,3.60,1,2.50,1.10
US-2023-131065-CHO-NUT-13000,131065,2023-11-14,2029-05-08,Second Class,Atlanta,Gulf,Georgia,3,6.98,2,4.98,2.00
